Symbol,Name,Sector
EMIL,Electronics Mart India Limited,Pharmaceuticals
EMKAY,Emkay Global Financial Services Limited,Consumer Durables
EMMBI,Emmbi Industries Limited,Oil & Gas
EMSLIMITED,EMS Limited,Commodities
EMUDHRA,eMudhra Limited,Automobile
ENDURANCE,Endurance Technologies Limited,Smallcap
ENERGYDEV,Energy Development Company Limited,Midcap
ENGINERSIN,Engineers India Limited,Consumer Durables
ENIL,Entertainment Network (India) Limited,Largecap
ENRIN,Siemens Energy India Limited,Commodities
ENTERO,Entero Healthcare Solutions Limited,Commodities
EPACK,EPACK Durable Limited,Media & Entertainment
EPIGRAL,Epigral Limited,Energy
EPL,EPL Limited,Metals
EQUIPPP,Equippp Social Impact Technologies Limited,Healthcare
EQUITASBNK,Equitas Small Finance Bank Limited,Media & Entertainment
ERIS,Eris Lifesciences Limited,Smallcap
ESABINDIA,Esab India Limited,Energy
ESAFSFB,ESAF Small Finance Bank Limited,Commodities
ESCORTS,Escorts Kubota Limited,Information Technology
ESSARSHPNG,Essar Shipping Limited,Oil & Gas
ESSENTIA,Integra Essentia Limited,Public Sector Banks
ESTER,Ester Industries Limited,Oil & Gas
ETERNAL,ETERNAL LIMITED,Commodities
ETHOSLTD,Ethos Limited,Oil & Gas
EUREKAFORB,Eureka Forbes Limited,Automobile
EUROTEXIND,Eurotex Industries and Exports Limited,Public Sector Banks
EVEREADY,Eveready Industries India Limited,Consumer Durables
EVERESTIND,Everest Industries Limited,Pharmaceuticals
EXCEL,Excel Realty N Infra Limited,Information Technology
EXCELINDUS,Excel Industries Limited,Realty
EXICOM,Exicom Tele-Systems Limited,Pharmaceuticals
EXIDEIND,Exide Industries Limited,Media & Entertainment
EXPLEOSOL,Expleo Solutions Limited,Energy
EXXARO,Exxaro Tiles Limited,Private Banks
FACT,Fertilizers and Chemicals Travancore Limited,FMCG
FAIRCHEMOR,Fairchem Organics Limited,Energy
FCL,Fineotex Chemical Limited,Financial Services
FCSSOFT,FCS Software Solutions Limited,Infrastructure
FDC,FDC Limited,Financial Services
FEDERALBNK,The Federal Bank  Limited,Consumer Durables
FEDFINA,Fedbank Financial Services Limited,Automobile
FEL,Future Enterprises Limited,Smallcap
FELDVR,Future Enterprises Limited,Consumer Durables
FIBERWEB,Fiberweb (India) Limited,Realty
FIEMIND,Fiem Industries Limited,Largecap
FILATEX,Filatex India Limited,Services Sector
FILATFASH,Filatex Fashions Limited,Automobile
FINCABLES,Finolex Cables Limited,Healthcare
FINEORG,Fine Organic Industries Limited,Oil & Gas
FINOPB,Fino Payments Bank Limited,Realty
FINPIPE,Finolex Industries Limited,Automobile
FIRSTCRY,Brainbees Solutions Limited,Oil & Gas
FIVESTAR,Five-Star Business Finance Limited,Information Technology
FLAIR,Flair Writing Industries Limited,Metals
FLEXITUFF,Flexituff Ventures International Limited,Healthcare
FLFL,Future Lifestyle Fashions Limited,FMCG
FLUOROCHEM,Gujarat Fluorochemicals Limited,Largecap
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Public Sector Banks
FMNL,Future Market Networks Limited,Automobile
FOCUS,Focus Lighting and Fixtures Limited,Banks
FOODSIN,Foods & Inns Limited,Services Sector
FORCEMOT,FORCE MOTORS LTD,Commodities
FORTIS,Fortis Healthcare Limited,Healthcare
FOSECOIND,Foseco India Limited,Media & Entertainment
FSC,Future Supply Chain Solutions Limited,Media & Entertainment
FSL,Firstsource Solutions Limited,FMCG
FUSION,Fusion Finance Limited,Metals
GABRIEL,Gabriel India Limited,Largecap
GAEL,Gujarat Ambuja Exports Limited,Oil & Gas
GAIL,GAIL (India) Limited,Commodities
GALAPREC,Gala Precision Engineering Limited,Metals
GALAXYSURF,Galaxy Surfactants Limited,Private Banks
GALLANTT,Gallantt Ispat Limited,Banks
GANDHAR,Gandhar Oil Refinery (India) Limited,Midcap
GANDHITUBE,Gandhi Special Tubes Limited,Automobile
GANECOS,Ganesha Ecosphere Limited,Media & Entertainment
GANESHBE,Ganesh Benzoplast Limited,Smallcap
GANESHHOUC,Ganesh Housing Corporation Limited,FMCG
GANGAFORGE,Ganga Forging Limited,Consumer Durables
GANGESSECU,Ganges Securities Limited,Healthcare
GARFIBRES,Garware Technical Fibres Limited,Realty
GARUDA,Garuda Construction and Engineering Limited,Infrastructure
GATECH,GACM Technologies Limited,Energy
GATECHDVR,GACM Technologies Limited,Realty
GATEWAY,Gateway Distriparks Limited,Largecap
GAYAHWS,Gayatri Highways Limited,Information Technology
GAYAPROJ,Gayatri Projects Limited,Oil & Gas
GEECEE,GeeCee Ventures Limited,Energy
GEEKAYWIRE,Geekay Wires Limited,Commodities
GENCON,Generic Engineering Construction and Projects Limited,Automobile
GENESYS,Genesys International Corporation Limited,Realty
GENSOL,Gensol Engineering Limited,Smallcap
GENUSPAPER,Genus Paper & Boards Limited,Metals
GENUSPOWER,Genus Power Infrastructures Limited,Oil & Gas
GEOJITFSL,Geojit Financial Services Limited,Financial Services
GEPIL,GE Power India Limited,Healthcare
GESHIP,The Great Eastern Shipping Company Limited,Energy
GFLLIMITED,GFL Limited,Financial Services
GHCL,GHCL Limited,Healthcare
GHCLTEXTIL,GHCL Textiles Limited,Realty
GICHSGFIN,GIC Housing Finance Limited,FMCG
GICRE,General Insurance Corporation of India,Largecap
GILLANDERS,Gillanders Arbuthnot & Company Limited,Metals
GILLETTE,Gillette India Limited,Healthcare
GINNIFILA,Ginni Filaments Limited,Banks
GIPCL,Gujarat Industries Power Company Limited,Commodities
GKWLIMITED,GKW Limited,Realty
GLAND,Gland Pharma Limited,Consumer Durables
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Midcap
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals
GLFL,Gujarat Lease Financing Limited,Healthcare
GLOBAL,Global Education Limited,Realty
GLOBALE,Globale Tessile Limited,Media & Entertainment
GLOBALVECT,Global Vectra Helicorp Limited,Realty
GLOBE,Globe Textiles (India) Limited,Banks
GLOBECIVIL,Globe Civil Projects Limited,Services Sector
GLOBUSSPR,Globus Spirits Limited,FMCG
GLOSTERLTD,Gloster Limited,Largecap
GMBREW,GM Breweries Limited,Energy
GMDCLTD,Gujarat Mineral Development Corporation Limited,Smallcap
GMMPFAUDLR,GMM Pfaudler Limited,Public Sector Banks
GMRAIRPORT,GMR AIRPORTS LIMITED,Smallcap
GNA,GNA Axles Limited,Information Technology
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Smallcap
GOACARBON,Goa Carbon Limited,Pharmaceuticals
GOCLCORP,GOCL Corporation Limited,Infrastructure
GOCOLORS,Go Fashion (India) Limited,Midcap
GODAVARIB,Godavari Biorefineries Limited,Healthcare
GODFRYPHLP,Godfrey Phillips India Limited,Financial Services
GODHA,Godha Cabcon & Insulation Limited,Oil & Gas
GODIGIT,Go Digit General Insurance Limited,Private Banks
GODREJAGRO,Godrej Agrovet Limited,Consumer Durables
GODREJCP,Godrej Consumer Products Limited,Automobile
GODREJIND,Godrej Industries Limited,Public Sector Banks
GODREJPROP,Godrej Properties Limited,Private Banks
GOENKA,Goenka Diamond and Jewels Limited,Services Sector
GOKEX,Gokaldas Exports Limited,Healthcare
GOKUL,Gokul Refoils and Solvent Limited,Healthcare
GOKULAGRO,Gokul Agro Resources Limited,Consumer Durables
GOLDENTOBC,Golden Tobacco Limited,Media & Entertainment
GOLDIAM,Goldiam International Limited,Public Sector Banks
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Media & Entertainment
GOODLUCK,Goodluck India Limited,Public Sector Banks
GOPAL,Gopal Snacks Limited,Public Sector Banks
GOYALALUM,Goyal Aluminiums Limited,Pharmaceuticals
GPIL,Godawari Power And Ispat limited,Metals
GPPL,Gujarat Pipavav Port Limited,Banks
GPTHEALTH,GPT Healthcare Limited,Healthcare
GPTINFRA,GPT Infraprojects Limited,Pharmaceuticals
GRANULES,Granules India Limited,Energy
GRAPHITE,Graphite India Limited,Realty
GRASIM,Grasim Industries Limited,Pharmaceuticals
GRAVITA,Gravita India Limited,Infrastructure
GREAVESCOT,Greaves Cotton Limited,Information Technology
GREENLAM,Greenlam Industries Limited,Commodities
GREENPANEL,Greenpanel Industries Limited,FMCG
GREENPLY,Greenply Industries Limited,Automobile
GREENPOWER,Orient Green Power Company Limited,FMCG
GRINDWELL,Grindwell Norton Limited,Services Sector
GRINFRA,G R Infraprojects Limited,Largecap
GRMOVER,GRM Overseas Limited,Largecap
GROBTEA,The Grob Tea Company Limited,Commodities
GRPLTD,GRP Limited,Pharmaceuticals
GRSE,Garden Reach Shipbuilders & Engineers Limited,Media & Entertainment
GRWRHITECH,Garware Hi-Tech Films Limited,Private Banks
GSFC,Gujarat State Fertilizers & Chemicals Limited,Services Sector
GSLSU,Global Surfaces Limited,Automobile
GSPL,Gujarat State Petronet Limited,Banks
GSS,GSS Infotech Limited,Midcap
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Largecap
GTL,GTL Limited,Commodities
GTLINFRA,GTL Infrastructure Limited,Automobile
GTPL,GTPL Hathway Limited,Banks
GUFICBIO,Gufic Biosciences Limited,Information Technology
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Services Sector
GUJAPOLLO,Gujarat Apollo Industries Limited,Services Sector
GUJGASLTD,Gujarat Gas Limited,FMCG
GUJRAFFIA,Gujarat Raffia Industries Limited,Midcap
GUJTHEM,Gujarat Themis Biosyn Limited,Financial Services
GULFOILLUB,Gulf Oil Lubricants India Limited,Consumer Durables
GULFPETRO,GP Petroleums Limited,Banks
GULPOLY,Gulshan Polyols Limited,Pharmaceuticals
GVKPIL,GVK Power & Infrastructure Limited,Realty
GVPTECH,GVP Infotech Limited,Information Technology
HAL,Hindustan Aeronautics Limited,Energy
HAPPSTMNDS,Happiest Minds Technologies Limited,Infrastructure
HAPPYFORGE,Happy Forgings Limited,Metals
HARDWYN,Hardwyn India Limited,Oil & Gas
HARIOMPIPE,Hariom Pipe Industries Limited,Financial Services
HARRMALAYA,Harrisons  Malayalam Limited,Pharmaceuticals
HARSHA,Harsha Engineers International Limited,Energy
HATHWAY,Hathway Cable & Datacom Limited,Information Technology
HATSUN,Hatsun Agro Product Limited,Healthcare
HAVELLS,Havells India Limited,Financial Services
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Media & Entertainment
HBLENGINE,HBL Engineering Limited,Healthcare
HBSL,HB Stockholdings Limited,Pharmaceuticals
HCC,Hindustan Construction Company Limited,Pharmaceuticals
HCG,Healthcare Global Enterprises Limited,Smallcap
HCLTECH,HCL Technologies Limited,Private Banks
HDBFS,HDB Financial Services Limited,Largecap
HDFCAMC,HDFC Asset Management Company Limited,Largecap
HDFCBANK,HDFC Bank Limited,Midcap
HDFCLIFE,HDFC Life Insurance Company Limited,Healthcare
HEADSUP,Heads UP Ventures Limited,Infrastructure
HECPROJECT,HEC Infra Projects Limited,Services Sector
HEG,HEG Limited,Metals
HEIDELBERG,HeidelbergCement India Limited,Public Sector Banks
HEMIPROP,Hemisphere Properties India Limited,Realty
HERANBA,Heranba Industries Limited,Smallcap
HERCULES,Hercules Hoists Limited,Automobile
HERITGFOOD,Heritage Foods Limited,Services Sector
HEROMOTOCO,Hero MotoCorp Limited,Banks
HESTERBIO,Hester Biosciences Limited,Services Sector
HEUBACHIND,Heubach Colorants India Limited,Healthcare
HEXATRADEX,Hexa Tradex Limited,Commodities
HEXT,Hexaware Technologies Limited,Banks
HFCL,HFCL Limited,Realty
HGINFRA,H.G. Infra Engineering Limited,Public Sector Banks
HGS,Hinduja Global Solutions Limited,Public Sector Banks
HIKAL,Hikal Limited,Healthcare
HILTON,Hilton Metal Forging Limited,Services Sector
HIMATSEIDE,Himatsingka Seide Limited,Financial Services
HINDALCO,Hindalco Industries Limited,Largecap
HINDCOMPOS,Hindustan Composites Limited,Information Technology
HINDCON,Hindcon Chemicals Limited,Automobile
HINDCOPPER,Hindustan Copper Limited,Midcap
HINDMOTORS,Hindustan Motors Limited,Private Banks
HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy
HINDPETRO,Hindustan Petroleum Corporation Limited,Banks
HINDUNILVR,Hindustan Unilever Limited,Energy
HINDWAREAP,Hindware Home Innovation Limited,Commodities
HINDZINC,Hindustan Zinc Limited,Private Banks
HIRECT,Hind Rectifiers Limited,Metals
HISARMETAL,Hisar Metal Industries Limited,Largecap
HITECH,Hi-Tech Pipes Limited,Banks
HITECHCORP,Hitech Corporation Limited,FMCG
HITECHGEAR,The Hi-Tech Gears Limited,Smallcap
HLEGLAS,HLE Glascoat Limited,Infrastructure
HLVLTD,HLV LIMITED,Healthcare
HMAAGRO,HMA Agro Industries Limited,Metals
HMT,HMT Limited,Healthcare
HMVL,Hindustan Media Ventures Limited,Oil & Gas
HNDFDS,Hindustan Foods Limited,Infrastructure
HOMEFIRST,Home First Finance Company India Limited,Information Technology
HONASA,Honasa Consumer Limited,Commodities
HONAUT,Honeywell Automation India Limited,Information Technology
HONDAPOWER,Honda India Power Products Limited,Services Sector
HOVS,HOV Services Limited,Smallcap
HPAL,HP Adhesives Limited,Banks
HPIL,Hindprakash Industries Limited,FMCG
HPL,HPL Electric & Power Limited,Commodities
HSCL,Himadri Speciality Chemical Limited,Commodities
HTMEDIA,HT Media Limited,FMCG
HUBTOWN,Hubtown Limited,Financial Services
HUDCO,Housing & Urban Development Corporation Limited,Oil & Gas
HUHTAMAKI,Huhtamaki India Limited,Information Technology
HYBRIDFIN,Hybrid Financial Services Limited,FMCG
HYUNDAI,Hyundai Motor India Limited,Private Banks
ICDSLTD,ICDS Limited,Media & Entertainment
ICEMAKE,Ice Make Refrigeration Limited,Banks
ICICIBANK,ICICI Bank Limited,Commodities
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Information Technology
ICIL,Indo Count Industries Limited,Media & Entertainment
ICRA,ICRA Limited,Healthcare
IDBI,IDBI Bank Limited,Pharmaceuticals
IDEA,Vodafone Idea Limited,Pharmaceuticals
IDEAFORGE,Ideaforge Technology Limited,Information Technology
IDFCFIRSTB,IDFC First Bank Limited,Oil & Gas
IEL,Indiabulls Enterprises Limited,Public Sector Banks
IEX,Indian Energy Exchange Limited,Consumer Durables
IFBAGRO,IFB Agro Industries Limited,Media & Entertainment
IFBIND,IFB Industries Limited,Realty
IFCI,IFCI Limited,Information Technology
IFGLEXPOR,IFGL Refractories Limited,Consumer Durables
IGARASHI,Igarashi Motors India Limited,FMCG
IGCL,Indogulf Cropsciences Limited,Smallcap
IGIL,International Gemmological Institute (India) Limited,FMCG
IGL,Indraprastha Gas Limited,Commodities
IGPL,IG Petrochemicals Limited,Midcap
IIFL,IIFL Finance Limited,Realty
IIFLCAPS,IIFL Capital Services Limited,Commodities
IITL,Industrial Investment Trust Limited,Pharmaceuticals
IKIO,IKIO Technologies Limited,Oil & Gas
IKS,Inventurus Knowledge Solutions Limited,Private Banks
IMAGICAA,Imagicaaworld Entertainment Limited,Media & Entertainment
IMFA,Indian Metals & Ferro Alloys Limited,Services Sector
IMPAL,India Motor Parts and Accessories Limited,Financial Services
IMPEXFERRO,Impex Ferro Tech Limited,Oil & Gas
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,Services Sector
INDBANK,Indbank Merchant Banking Services Limited,Healthcare
INDGN,Indegene Limited,Smallcap
INDHOTEL,The Indian Hotels Company Limited,Automobile
INDIACEM,The India Cements Limited,Energy
INDIAGLYCO,India Glycols Limited,Commodities
INDIAMART,Indiamart Intermesh Limited,Automobile
INDIANB,Indian Bank,Private Banks
INDIANCARD,Indian Card Clothing Company Limited,Metals
INDIANHUME,Indian Hume Pipe Company Limited,Consumer Durables
INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services
INDIGO,InterGlobe Aviation Limited,Media & Entertainment
INDIGOPNTS,Indigo Paints Limited,Energy
INDNIPPON,India Nippon Electricals Limited,Oil & Gas
INDOAMIN,Indo Amines Limited,Private Banks
INDOBORAX,Indo Borax & Chemicals Limited,Smallcap
INDOCO,Indoco Remedies Limited,Services Sector
INDOFARM,Indo Farm Equipment Limited,Oil & Gas
INDORAMA,Indo Rama Synthetics (India) Limited,Metals
INDOSTAR,IndoStar Capital Finance Limited,Realty
INDOTECH,Indo Tech Transformers Limited,Largecap
INDOTHAI,Indo Thai Securities Limited,Oil & Gas
INDOUS,Indo Us Biotech Limited,Smallcap
INDOWIND,Indowind Energy Limited,Metals
INDRAMEDCO,Indraprastha Medical Corporation Limited,Financial Services
INDSWFTLAB,Ind-Swift Laboratories Limited,Smallcap
INDSWFTLTD,Ind-Swift Limited,FMCG
INDTERRAIN,Indian Terrain Fashions Limited,Realty
INDUSINDBK,IndusInd Bank Limited,Media & Entertainment
INDUSTOWER,Indus Towers Limited,Pharmaceuticals
INFIBEAM,Infibeam Avenues Limited,Largecap
INFOBEAN,InfoBeans Technologies Limited,Largecap
INFY,Infosys Limited,Information Technology
INGERRAND,Ingersoll Rand (India) Limited,Private Banks
INNOVACAP,Innova Captab Limited,Energy
INNOVANA,Innovana Thinklabs Limited,Infrastructure
INOXGREEN,Inox Green Energy Services Limited,Media & Entertainment
INOXINDIA,INOX India Limited,Oil & Gas
INOXWIND,Inox Wind Limited,Pharmaceuticals
INSECTICID,Insecticides (India) Limited,Information Technology
INSPIRISYS,Inspirisys Solutions Limited,Banks
INTELLECT,Intellect Design Arena Limited,Realty
INTENTECH,Intense Technologies Limited,Pharmaceuticals
INTERARCH,Interarch Building Solutions Limited,Midcap
INTLCONV,International Conveyors Limited,Smallcap
INVENTURE,Inventure Growth & Securities Limited,Banks
IOB,Indian Overseas Bank,Banks
IOC,Indian Oil Corporation Limited,Banks
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Automobile
IONEXCHANG,ION Exchange (India) Limited,Pharmaceuticals
IPCALAB,IPCA Laboratories Limited,Realty
IPL,India Pesticides Limited,Metals
IRB,IRB Infrastructure Developers Limited,Infrastructure
IRCON,Ircon International Limited,Banks
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Energy
IREDA,Indian Renewable Energy Development Agency Limited,Media & Entertainment
IRFC,Indian Railway Finance Corporation Limited,Pharmaceuticals
IRIS,Iris Business Services Limited,Largecap
IRISDOREME,Iris Clothings Limited,Public Sector Banks
IRMENERGY,IRM Energy Limited,Metals
ISFT,Intrasoft Technologies Limited,Services Sector
ISGEC,Isgec Heavy Engineering Limited,Healthcare
ISHANCH,Ishan Dyes and Chemicals Limited,Oil & Gas
ITC,ITC Limited,Energy
ITCHOTELS,ITC Hotels Limited,Commodities
ITDC,India Tourism Development Corporation Limited,Automobile
ITDCEM,ITD Cementation India Limited,Automobile
ITI,ITI Limited,Energy
IVC,IL&FS Investment Managers Limited,Metals
IVP,IVP Limited,Midcap
IXIGO,Le Travenues Technology Limited,Midcap
IZMO,IZMO Limited,Private Banks
JAGRAN,Jagran Prakashan Limited,Information Technology
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Infrastructure
JAIBALAJI,Jai Balaji Industries Limited,Healthcare
JAICORPLTD,Jai Corp Limited,Metals
JAIPURKURT,Nandani Creation Limited,Banks
JAMNAAUTO,Jamna Auto Industries Limited,Realty
JASH,Jash Engineering Limited,Media & Entertainment
JAYAGROGN,Jayant Agro Organics Limited,Largecap
JAYBARMARU,Jay Bharat Maruti Limited,Banks
JAYNECOIND,Jayaswal Neco Industries Limited,Public Sector Banks
JAYSREETEA,Jayshree Tea & Industries Limited,Oil & Gas
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals
JBMA,JBM Auto Limited,Private Banks
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Realty
JETFREIGHT,Jet Freight Logistics Limited,Pharmaceuticals
JGCHEM,J.G.Chemicals Limited,Consumer Durables
JHS,JHS Svendgaard Laboratories Limited,Metals
JINDALPHOT,Jindal Photo Limited,Consumer Durables
JINDALPOLY,Jindal Poly Films Limited,Media & Entertainment
JINDALSAW,Jindal Saw Limited,Realty
JINDALSTEL,Jindal Steel & Power Limited,Midcap
JINDRILL,Jindal Drilling And Industries Limited,Metals
JINDWORLD,Jindal Worldwide Limited,Banks
JIOFIN,Jio Financial Services Limited,Metals
JISLDVREQS,Jain Irrigation Systems Limited,Infrastructure
JISLJALEQS,Jain Irrigation Systems Limited,Banks
JITFINFRA,JITF Infralogistics Limited,Realty
JKCEMENT,JK Cement Limited,Pharmaceuticals
JKIL,J.Kumar Infraprojects Limited,Media & Entertainment
JKLAKSHMI,JK Lakshmi Cement Limited,Infrastructure
JKPAPER,JK Paper Limited,Pharmaceuticals
JKTYRE,JK Tyre & Industries Limited,Realty
JLHL,Jupiter Life Line Hospitals Limited,Information Technology
JMA,Jullundur Motor Agency (Delhi) Limited,Banks
JMFINANCIL,JM Financial Limited,Services Sector
JNKINDIA,JNK India Limited,Pharmaceuticals
JOCIL,Jocil Limited,Financial Services
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Oil & Gas
JPPOWER,Jaiprakash Power Ventures Limited,Financial Services
JSFB,Jana Small Finance Bank Limited,Oil & Gas
JSL,Jindal Stainless Limited,Midcap
JSWENERGY,JSW Energy Limited,Energy
JSWHL,JSW Holdings Limited,Smallcap
JSWINFRA,JSW Infrastructure Limited,Oil & Gas
JSWSTEEL,JSW Steel Limited,Infrastructure
JTEKTINDIA,Jtekt India Limited,Midcap
JTLIND,JTL INDUSTRIES LIMITED,Realty
JUBLCPL,Jubilant Agri and Consumer Products Limited,Smallcap
JUBLFOOD,Jubilant Foodworks Limited,Commodities
JUBLINGREA,Jubilant Ingrevia Limited,Infrastructure
JUBLPHARMA,Jubilant Pharmova Limited,Largecap
JUNIPER,Juniper Hotels Limited,Media & Entertainment
JUSTDIAL,Just Dial Limited,Oil & Gas
JWL,Jupiter Wagons Limited,Commodities
JYOTHYLAB,Jyothy Labs Limited,Midcap
JYOTICNC,Jyoti CNC Automation Limited,Consumer Durables
JYOTISTRUC,Jyoti Structures Limited,Information Technology
KABRAEXTRU,Kabra Extrusion Technik Limited,Banks
KAJARIACER,Kajaria Ceramics Limited,Realty
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Smallcap
KALAMANDIR,Sai Silks (Kalamandir) Limited,Banks
KALPATARU,Kalpataru Limited,Pharmaceuticals
KALYANI,Kalyani Commercials Limited,Largecap
KALYANIFRG,Kalyani Forge Limited,FMCG
KALYANKJIL,Kalyan Jewellers India Limited,Information Technology
KAMATHOTEL,Kamat Hotels (I) Limited,FMCG
KAMDHENU,Kamdhenu Limited,Infrastructure
KAMOPAINTS,Kamdhenu Ventures Limited,Midcap
KANANIIND,Kanani Industries Limited,FMCG
KANORICHEM,Kanoria Chemicals & Industries Limited,Services Sector
KANPRPLA,Kanpur Plastipack Limited,Services Sector
KANSAINER,Kansai Nerolac Paints Limited,Realty
KAPSTON,Kapston Services Limited,Services Sector
KARMAENG,Karma Energy Limited,Energy
KARURVYSYA,Karur Vysya Bank Limited,Healthcare
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,FMCG
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,Services Sector
KAYA,Kaya Limited,Metals
KAYNES,Kaynes Technology India Limited,Metals
KCP,KCP Limited,Realty
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Financial Services
KDDL,KDDL Limited,Media & Entertainment
KEC,KEC International Limited,Smallcap
KECL,Kirloskar Electric Company Limited,Realty
KEEPLEARN,DSJ Keep Learning Limited,Midcap
KEI,KEI Industries Limited,Energy
KELLTONTEC,Kellton Tech Solutions Limited,Public Sector Banks
KERNEX,Kernex Microsystems (India) Limited,Largecap
KESORAMIND,Kesoram Industries Limited,Automobile
KEYFINSERV,Keynote Financial Services Limited,FMCG
KFINTECH,Kfin Technologies Limited,Information Technology
KHADIM,Khadim India Limited,Private Banks
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Healthcare
KHAITANLTD,Khaitan (India) Limited,Commodities
KHANDSE,Khandwala Securities Limited,Services Sector
KICL,Kalyani Investment Company Limited,Information Technology
KILITCH,Kilitch Drugs (India) Limited,FMCG
KIMS,Krishna Institute of Medical Sciences Limited,Midcap
KINGFA,Kingfa Science & Technology (India) Limited,Automobile
KIOCL,KIOCL Limited,FMCG
KIRIINDUS,Kiri Industries Limited,Energy
KIRLOSBROS,Kirloskar Brothers Limited,Metals
KIRLOSENG,Kirloskar Oil Engines Limited,Banks
KIRLOSIND,Kirloskar Industries Limited,Realty
KIRLPNU,Kirloskar Pneumatic Company Limited,Media & Entertainment
KITEX,Kitex Garments Limited,Infrastructure
KKCL,Kewal Kiran Clothing Limited,Information Technology
KMEW,Knowledge Marine & Engineering Works Limited,Pharmaceuticals
KMSUGAR,K.M.Sugar Mills Limited,Infrastructure
KNRCON,KNR Constructions Limited,Information Technology
KOHINOOR,Kohinoor Foods Limited,Consumer Durables
KOKUYOCMLN,Kokuyo Camlin Limited,Banks
KOLTEPATIL,Kolte - Patil Developers Limited,Banks
KOPRAN,Kopran Limited,Automobile
KOTAKBANK,Kotak Mahindra Bank Limited,FMCG
KOTARISUG,Kothari Sugars And Chemicals Limited,Metals
KOTHARIPET,Kothari Petrochemicals Limited,Banks
KOTHARIPRO,Kothari Products Limited,Oil & Gas
KPEL,K.P. Energy Limited,Information Technology
KPIGREEN,KPI Green Energy Limited,Midcap
KPIL,Kalpataru Projects International Limited,Oil & Gas
KPITTECH,KPIT Technologies Limited,Realty
KPRMILL,K.P.R. Mill Limited,Oil & Gas
KRBL,KRBL Limited,Oil & Gas
KREBSBIO,Krebs Biochemicals and Industries Limited,Healthcare
KRIDHANINF,Kridhan Infra Limited,Smallcap
KRISHANA,Krishana Phoschem Limited,Pharmaceuticals
KRISHIVAL,Krishival Foods Limited,Metals
KRITI,Kriti Industries (India) Limited,Healthcare
KRITIKA,Kritika Wires Limited,FMCG
KRITINUT,Kriti Nutrients Limited,Oil & Gas
KRN,KRN Heat Exchanger and Refrigeration Limited,Information Technology
KRONOX,Kronox Lab Sciences Limited,Energy
KROSS,Kross Limited,Banks
KRSNAA,Krsnaa Diagnostics Limited,Public Sector Banks
KRYSTAL,Krystal Integrated Services Limited,Pharmaceuticals
KSB,Ksb Limited,Services Sector
KSCL,Kaveri Seed Company Limited,Midcap
KSHITIJPOL,Kshitij Polyline Limited,FMCG
KSL,Kalyani Steels Limited,Banks
KSOLVES,Ksolves India Limited,Information Technology
KTKBANK,The Karnataka Bank Limited,Realty
KUANTUM,Kuantum Papers Limited,Infrastructure
LAGNAM,Lagnam Spintex Limited,Smallcap
LAKPRE,Lakshmi Precision Screws Limited,Oil & Gas
LAL,Lorenzini Apparels Limited,Consumer Durables
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare
LAMBODHARA,Lambodhara Textiles Limited,Smallcap
LANCORHOL,Lancor Holdings Limited,Banks
LANDMARK,Landmark Cars Limited,Public Sector Banks
LAOPALA,La Opala RG Limited,Smallcap
LASA,Lasa Supergenerics Limited,Metals
LATENTVIEW,Latent View Analytics Limited,Smallcap
LATTEYS,Latteys Industries Limited,Healthcare
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals
LAXMICOT,Laxmi Cotspin Limited,Information Technology
LAXMIDENTL,Laxmi Dental Limited,Banks
LEMONTREE,Lemon Tree Hotels Limited,Healthcare
LEXUS,Lexus Granito (India) Limited,Infrastructure
LFIC,Lakshmi Finance & Industrial Corporation Limited,Midcap
LGBBROSLTD,LG Balakrishnan & Bros Limited,Energy
LGHL,Laxmi Goldorna House Limited,Public Sector Banks
LIBAS,Libas Consumer Products Limited,Consumer Durables
LIBERTSHOE,Liberty Shoes Limited,Automobile
LICHSGFIN,LIC Housing Finance Limited,Metals
